#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
onboarding.tutorial.with.jenkins.prereqs.intro.sentence.must_have	must be installed and configured:	installiert und konfiguriert werden muss:
onboarding.tutorial.with.jenkins.prereqs.plugins.branch_source.bitbucket	Bitbucket Branch Source plugin for Jenkins - version 2.7 or later	Bitbucket Niederlassung Quelle Plugin für Jenkins - Version 2.7 oder höher
onboarding.tutorial.with.jenkins.prereqs.plugins.branch_source.github	GitHub Branch Source plugin for Jenkins - version 2.7.1 or later	GitHub Niederlassung Quelle Plugin für Jenkins - Version 2.7.1 oder höher
onboarding.tutorial.with.jenkins.prereqs.plugins.branch_source.gitlab	GitLab Branch Source plugin for Jenkins - version 1.5.3 or later	Gitlab Niederlassung Quelle Plugin für Jenkins - Version 1.5.3 oder höher
onboarding.tutorial.with.jenkins.prereqs.plugins.gitlab_plugin	GitLab plugin for Jenkins - version 1.5.13 or later	Gitlab Plugin für Jenkins - Version 1.5.13 oder höher
onboarding.tutorial.with.jenkins.prereqs.plugins.sonar_scanner	SonarQube Scanner plugin for Jenkins - version 2.11 or later	Sonarqube Scanner-Plugin für Jenkins - Version 2.11 oder höher
onboarding.tutorial.with.jenkins.prereqs.step_by_step_guide	For a step by step guide on installing and configuring those plugins in Jenkins, visit the {link} documentation page.	Für einen Schritt für Schritt Anleitung zur Installation und diese Plugins in Jenkins Konfiguration finden Sie auf die {link} Dokumentationsseite.
onboarding.tutorial.with.jenkins.prereqs.step_by_step_guide.link	Analysis Prerequisites	Analyse Voraussetzungen
onboarding.tutorial.with.jenkins.prereqs.following_are_recommendations	We recommend using the configuration in the following steps for the best results, but you can customize it as needed.	Wir empfehlen, die Konfiguration in den folgenden Schritten für die besten Ergebnisse, aber Sie können es bei Bedarf anpassen.
onboarding.tutorial.with.jenkins.prereqs.skip_next_time	Don't show me the prerequisites next time	Zeigte mir nicht, die Voraussetzungen beim nächsten Mal
onboarding.tutorial.with.jenkins.prereqs.done	Configure Analysis	konfigurieren von Analysis
onboarding.tutorial.with.jenkins.multi_branch_pipeline.title	Create a Multibranch Pipeline Job	Erstellen Sie eine Pipeline Job mehrfach verzweigten
onboarding.tutorial.with.jenkins.multi_branch_pipeline.intro	Create a Multibranch Pipeline in order to automatically analyze all your branches and pull requests.	Erstellen Sie eine Pipeline mehrfach verzweigten, um automatisch alle Ihre Filialen und Pull-Anforderungen zu analysieren.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step1.sentence	From Jenkins' dashboard, click {new_item} and create a {type}.	Von Jenkins' Armaturenbrett, klicken Sie auf {NEW_ITEM} und erstellen {type}.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step1.sentence.new_item	New Item	Neuer Gegenstand
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step1.sentence.type	Multibranch Pipeline Job	Mehrfach verzweigten Pipeline-Job
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.sentence	Under {tab}, add a {source} source and enter the following information:	Unter {tab}, fügen Sie eine {source} Quelle und geben Sie die folgenden Informationen:
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.sentence.tab	Branch Sources	Zweig Quellen
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.sentence.source	Bitbucket	Bit Bucket
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.server.label	Server	Server
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.server.action	select the instance hosting the repository you want to analyze.	wählen Sie die Instanz-Hosting das Repository Sie analysieren möchten.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.creds.label	Credentials	Referenzen
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.creds.action	select the Bitbucket Server credentials.	die Bitbucket Server-Anmeldeinformationen auszuwählen.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.owner.label	Owner	Inhaber
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.owner.action	enter your project key.	geben Sie Ihre Projektschlüssel.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.repo.label	Repository	Repository
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.repo.action	select the repository you want to analyze.	Wählen Sie das Repository Sie analysieren möchten.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.sentence	Under {tab}, add a {source} source and enter the following information:	Unter {tab}, fügen Sie eine {source} Quelle und geben Sie die folgenden Informationen:
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.sentence.tab	Branch Sources	Zweig Quellen
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.sentence.source	GitHub	GitHub
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.creds.label	Credentials	Referenzen
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.creds.action	select or add your GitHub credentials.	wählen oder fügen Sie Ihre GitHub Berechtigungsnachweise.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.repo_url.label	Repository HTTPS URL	Repository HTTPS-URL
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.repo_url.action	enter your repository URL.	geben Sie Ihre Repository-URL.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.sentence	Under {tab}, add a {source} source and enter the following information:	Unter {tab}, fügen Sie eine {source} Quelle und geben Sie die folgenden Informationen:
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.sentence.tab	Branch Sources	Zweig Quellen
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.sentence.source	GitLab Project	Gitlab Projekt
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.creds.label	Checkout Credentials	Kasse Credentials
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.creds.action	select or add your GitLab credentials.	wählen oder fügen Sie Ihre Gitlab Berechtigungsnachweise.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.owner.label	Owner	Inhaber
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.owner.action	enter the name of your user or your group.	Geben Sie den Namen Ihres Benutzers oder Ihrer Gruppe.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.repo.label	Projects	Projekte
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.repo.action	select your project.	Wählen Sie Ihr Projekt.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.behaviour.label	Behavior	Verhalten
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.bitbucket.behaviour.action	make sure "Exclude branches that are also filed as PRs" is selected.	stellen Sie sicher, „Ausschließen Zweige, die auch als PRs abgelegt werden“ ausgewählt.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.behaviour.label	Behavior	Verhalten
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.github.behaviour.action	make sure "Exclude branches that are also filed as PRs" is selected.	stellen Sie sicher, „Ausschließen Zweige, die auch als PRs abgelegt werden“ ausgewählt.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.behaviour.label	Behaviours	Behaviors
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.gitlab.behaviour.action	make sure "Only branches that are not also filed as MRs" is selected.	stellen Sie sicher, „Nur Zweige, die nicht auch als MRs abgelegt werden“ ausgewählt.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step2.leave_defaults	You can leave the other settings at the defaults.	Sie können die anderen Einstellungen auf die Standardwerte verlassen.
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.sentence	Jump to the {tab} section and make sure the parameters are set as follows:	Wechsel zu dem {tab} Abschnitt und stellen Sie sicher, dass die Parameter wie folgt festgelegt:
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.sentence.tab	Build Configuration	Build-Konfiguration
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.mode.label	Mode	Modus
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.mode.action	by Jenkinsfile	von Jenkinsfile
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.script_path.label	Script Path	Script-Pfad
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step3.script_path.action	Jenkinsfile	Jenkinsfile
		
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step4.sentence	Click {save}.	Klicken Sie auf {} Speichern.
onboarding.tutorial.with.jenkins.multi_branch_pipeline.step4.sentence.save	Save	speichern
		
onboarding.tutorial.with.jenkins.pipeline.title	Create a Pipeline Job	Erstellen Sie eine Pipeline-Job
onboarding.tutorial.with.jenkins.pipeline.intro	Create a Pipeline in order to automatically analyze your project.	Erstellen Sie eine Pipeline, um Ihr Projekt automatisch zu analysieren.
onboarding.tutorial.with.jenkins.pipeline.step1.sentence	From Jenkins' dashboard, click {new_item} and create a {type}.	Von Jenkins' Armaturenbrett, klicken Sie auf {NEW_ITEM} und erstellen {type}.
onboarding.tutorial.with.jenkins.pipeline.step1.sentence.new_item	New Item	Neuer Gegenstand
onboarding.tutorial.with.jenkins.pipeline.step1.sentence.type	Pipeline Job	Pipeline-Job
		
onboarding.tutorial.with.jenkins.pipeline.step2.sentence	Under {tab}, choose {option}. You must set a unique, secret token for this field.	Unter {tab}, wählen Sie {Option}. Sie müssen ein eindeutiges, Geheimnis für dieses Feld Token gesetzt.
onboarding.tutorial.with.jenkins.pipeline.step2.sentence.tab	Build Triggers	Build-Trigger
onboarding.tutorial.with.jenkins.pipeline.step2.sentence.option	Trigger builds remotely	Trigger baut fern
		
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.trigger.sentence	Under {tab}, choose {option}. Write down the webhook URL provided. You will need it when configuring the webhook in GitLab.	Unter {tab}, wählen Sie {Option}. Notieren Sie die Webhook URL zur Verfügung gestellt. Sie werden es brauchen, wenn die Webhook in Gitlab konfigurieren.
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.trigger.sentence.tab	Build Triggers	Build-Trigger
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.trigger.sentence.option	Build when a change is pushed to GitLab	Bauen Sie, wenn eine Änderung zu Gitlab gedrückt wird
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.pick_triggers.sentence	Under {triggers}, only select {push_events}.	Unter {Trigger}, wählen Sie nur {push_events}.
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.pick_triggers.sentence.triggers	Enabled GitLab triggers	Aktiviert Gitlab Trigger
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.pick_triggers.sentence.push_events	Push events	Push-Veranstaltungen
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.click_advanced.sentence	Click on {advanced}	Klicken Sie auf {Erweitert}
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.click_advanced.sentence.advanced	Advanced...	Erweitert ...
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.secret_token.sentence	Find the {secret_token} text field, and click on {generate}. Write down the secret token. You will need it when configuring the webhook in GitLab.	Finden Sie die {secret_token} Textfeld und klicken Sie auf {} erzeugen. Schreiben Sie die geheimen Token nach unten. Sie werden es brauchen, wenn die Webhook in Gitlab konfigurieren.
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.secret_token.sentence.secret_token	Secret token	geheime Zeichen
onboarding.tutorial.with.jenkins.pipeline.gitlab.step2.secret_token.sentence.generate	Generate	Generieren
		
onboarding.tutorial.with.jenkins.pipeline.step3.sentence	Under {tab}, make sure the parameters are set as follows:	Unter {tab}, stellen Sie sicher, werden die Parameter wie folgt festgelegt:
onboarding.tutorial.with.jenkins.pipeline.step3.sentence.tab	Pipeline	Pipeline
onboarding.tutorial.with.jenkins.pipeline.step3.definition.label	Definition	Definition
onboarding.tutorial.with.jenkins.pipeline.step3.definition.action	Pipeline script from SCM	Pipeline-Skript von SCM
onboarding.tutorial.with.jenkins.pipeline.step3.scm.sentence	{label} Configure your SCM. Make sure to only build your main branch. For example, if your main branch is called "main", put "*/main" under {branches_to_build}.	{Label} Konfigurieren Sie Ihren SCM. Achten Sie darauf, nur den Hauptzweig aufzubauen. Zum Beispiel wird, wenn Ihr Hauptzweig "main" genannt, setzen "* / main" unter {branches_to_build}.
onboarding.tutorial.with.jenkins.pipeline.step3.scm.sentence.label	SCM:	SCM:
onboarding.tutorial.with.jenkins.pipeline.step3.scm.sentence.branches_to_build	Branches to build	Branchen zu bauen
onboarding.tutorial.with.jenkins.pipeline.step3.script_path.label	Script Path	Script-Pfad
onboarding.tutorial.with.jenkins.pipeline.step3.script_path.action	Jenkinsfile	Jenkinsfile
		
onboarding.tutorial.with.jenkins.pipeline.step4.sentence	Click {save}.	Klicken Sie auf {} Speichern.
onboarding.tutorial.with.jenkins.pipeline.step4.sentence.save	Save	speichern
		
		
onboarding.tutorial.with.jenkins.webhook.bitbucket.title	Create a Bitbucket Server Webhook	Erstellen Sie einen Bitbucket Server Webhook
onboarding.tutorial.with.jenkins.webhook.github.title	Create a GitHub Webhook	Erstellen Sie ein GitHub Webhook
onboarding.tutorial.with.jenkins.webhook.gitlab.title	Create a GitLab Webhook	Erstellen Sie eine Gitlab Webhook
onboarding.tutorial.with.jenkins.webhook.intro.sentence	Create a Webhook in your repository to trigger the Jenkins job on push. Already have a Webhook configured? {link}	Erstellen Sie ein Webhook in Ihrem Repository die Jenkins Job auf Push auslösen. Sie haben bereits ein Webhook konfiguriert? {Verknüpfung}
onboarding.tutorial.with.jenkins.webhook.intro.link	Skip this step.	Überspringe diesen Schritt.
onboarding.tutorial.with.jenkins.webhook.step1.sentence	Go to the {link} and enter the following information:	Gehen Sie auf die {link} und geben Sie die folgenden Informationen:
onboarding.tutorial.with.jenkins.webhook.bitbucket.step1.link	Bitbucket Server Webhook creation page for your repository	Bitbucket Server Webhook Erstellungsseite für Ihren Repository
onboarding.tutorial.with.jenkins.webhook.github.step1.link	GitHub Webhook creation page for your repository	GitHub Webhook Erstellungsseite für Ihren Repository
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.link	GitLab Webhook creation page for your repository	Gitlab Webhook Erstellungsseite für Ihren Repository
onboarding.tutorial.with.jenkins.webhook.step1.name.label	Name	Name
onboarding.tutorial.with.jenkins.webhook.step1.name.action	give a unique name.	geben Sie einen eindeutigen Namen.
onboarding.tutorial.with.jenkins.webhook.bitbucket.step1.url.label	URL	URL
onboarding.tutorial.with.jenkins.webhook.bitbucket.step1.url.action	Enter the following URL, replacing the values between *** as needed:	Geben Sie die folgende URL ein, ersetzt die Werte zwischen *** je nach Bedarf:
onboarding.tutorial.with.jenkins.webhook.bitbucket.step1.url.warning	The Bitbucket Server URL must be identical to the one in your Jenkins configuration. Watch out for any missing or extra "/" at the end.	Die Bitbucket Server-URL muss mit dem in Ihrer Jenkins Konfiguration identisch sein. Achten Sie auf fehlende oder zusätzliche „/“ am Ende.
onboarding.tutorial.with.jenkins.webhook.github.step1.url.label	URL	URL
onboarding.tutorial.with.jenkins.webhook.github.step1.url.action	Enter the following URL, replacing the values between *** as needed:	Geben Sie die folgende URL ein, ersetzt die Werte zwischen *** je nach Bedarf:
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.url_with_branches.label	URL	URL
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.url_with_branches.action	Enter the following URL, replacing the values between *** as needed:	Geben Sie die folgende URL ein, ersetzt die Werte zwischen *** je nach Bedarf:
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.url_no_branches.label	URL	URL
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.url_no_branches.action	Enter the URL you wrote down in the previous step.	Geben Sie die URL, die Sie im vorherigen Schritt notiert haben.
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.secret_token.label	Secret Token	geheime Token
onboarding.tutorial.with.jenkins.webhook.gitlab.step1.secret_token.action	Enter the generated token you wrote down in the previous step.	Geben Sie die generierte Token Sie im vorherigen Schritt notiert haben.
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.sentence	Under {events}, make sure the following options are checked:	Unter {Veranstaltungen}, stellen Sie sicher, werden die folgenden Optionen geprüft:
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.sentence.events	Events	Veranstaltungen
onboarding.tutorial.with.jenkins.webhook.github.step2.sentence	Under {events} select {option} and check the following:	Unter {Veranstaltungen} wählen {Option} und überprüfen Sie folgende Punkte:
onboarding.tutorial.with.jenkins.webhook.github.step2.sentence.events	Which events would you like to trigger this webhook?	Welche Ereignisse möchten Sie diesen Webhook auslösen?
onboarding.tutorial.with.jenkins.webhook.github.step2.sentence.option	Let me select individual events	Lassen Sie mich einzelne Ereignisse wählen
onboarding.tutorial.with.jenkins.webhook.gitlab.step2.sentence	Under {trigger} check the following:	Unter {Trigger} überprüfen Sie folgende Punkte:
onboarding.tutorial.with.jenkins.webhook.gitlab.step2.sentence.trigger	Trigger	Auslösen
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.repo.label	Repository	Repository
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.repo.action	Push	drücken
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.pr.label	Pull Request	Pull-Request
onboarding.tutorial.with.jenkins.webhook.bitbucket.step2.pr.action	Opened	geöffnet
onboarding.tutorial.with.jenkins.webhook.github.step2.repo	Pushes	schiebt
onboarding.tutorial.with.jenkins.webhook.github.step2.pr	Pull Requests	Pull Requests
onboarding.tutorial.with.jenkins.webhook.gitlab.step2.repo	Push events	Push-Veranstaltungen
onboarding.tutorial.with.jenkins.webhook.gitlab.step2.mr	Merge request events	Merge Anfrage Veranstaltungen
onboarding.tutorial.with.jenkins.webhook.step3.sentence	Click {create}.	Klicken Sie auf {} erstellen.
onboarding.tutorial.with.jenkins.webhook.step3.sentence.create	Create	Erstellen
onboarding.tutorial.with.jenkins.webhook.gitlab.step3.sentence	Click {add_webhook}.	Klicken Sie auf {add_webhook}.
onboarding.tutorial.with.jenkins.webhook.gitlab.step3.sentence.add_webhook	Add webhook	In Webhook
onboarding.tutorial.with.jenkins.jenkinsfile.title	Create a Jenkinsfile	Erstellen Sie eine Jenkinsfile
onboarding.tutorial.with.jenkins.jenkinsfile.jenkinsfile_step.sentence	Create a {file} file in your repository and paste the following code:	Erstellen Sie eine {Datei} Datei in Ihrem Repository und fügen Sie den folgenden Code:
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step2.sentence	Add the following to your {file} file:	Fügen Sie die folgende zu Ihrer {Datei} Datei:
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.replace.sentence	Make sure to replace {default} with the name you gave to your Maven tool {in_jenkins}.	Achten Sie darauf, ersetzen {default} mit dem Namen, den Sie Ihrem Maven-Tool gab {in_jenkins}.
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.replace.sentence.default	Default Maven	Standard Maven
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.replace.sentence.in_jenkins	in Jenkins	in Jenkins
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.help1.sentence	To get the name of your Maven tool in Jenkins, navigate to {path}.	Um den Namen des Maven-Tool in Jenkins, Navigieren Sie zu {Pfad} zu erhalten.
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.help1.sentence.path	Manage Jenkins > Global Tool Configuration	Verwalten Jenkins> Globale Werkzeugkonfiguration
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.help2.sentence	The name is located under the {path} section, in the {name} field.	Der Name wird unter dem Pfad {} Abschnitt befindet, in dem {name} Feld.
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.help2.sentence.path	Maven > Maven installations	Maven> Maven Installationen
onboarding.tutorial.with.jenkins.jenkinsfile.maven.step3.help2.sentence.name	Name	Name
onboarding.tutorial.with.jenkins.jenkinsfile.gradle.step2.sentence	Add the following to your {file} file:	Fügen Sie die folgende zu Ihrer {Datei} Datei:
onboarding.tutorial.with.jenkins.jenkinsfile.dotnet.build_agent	Choose your build agent.	Wählen Sie Ihren Build-Agent.
		
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.title.sentence	Prerequisite: Add a {default_msbuild} tool	Voraussetzung: Fügen Sie ein {default_msbuild} Werkzeug
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.title.sentence.default_msbuild	MSBuild	MSBuild
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.info	This step need to be done only once per jenkins instance.	Dieser Schritt muß nur einmal pro jenkins Instanz erfolgen.
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step1.sentence	In Jenkins, make sure to have the {msbuild} installed.	In Jenkins, stellen Sie sicher, dass die {msbuild} installiert sein.
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step1.sentence.msbuild	MSBuild Plugin	MSBuild Plugin
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step2.sentence	Navigate to {path}.	Navigieren Sie zu {path}.
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step2.sentence.path	Manage Jenkins > Global Tool Configuration	Verwalten Jenkins> Globale Werkzeugkonfiguration
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step3.sentence	Under {msbuild} click on {add_msbuild} and give a {name} that will be used in the last step. Refer to the {msbuild_plugin} documentation on how to install the tool:	Unter {msbuild} klicken Sie auf {add_msbuild} und geben einen {name}, die im letzten Schritt verwendet wird. Wenden Sie sich an den {msbuild_plugin} Dokumentation, wie das Tool zu installieren:
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step3.sentence.msbuild	MSBuild	MSBuild
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step3.sentence.msbuild_plugin	MSBuild Plugin	MSBuild Plugin
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step3.sentence.add_msbuild	Add MSBuild	In MSBuild
onboarding.tutorial.with.jenkins.dotnet.msbuild.prereqs.step3.sentence.name	Name	Name
		
		
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.title.sentence	Prerequisite: Add a {default_scanner} tool	Voraussetzung: Fügen Sie ein {default_scanner} Werkzeug
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.title.sentence.default_scanner	SonarScanner for MSBuild	SonarScanner für MSBuild
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.info	This step needs to be done only once per jenkins instance or if you need different scanner versions.	Dieser Schritt muss nur einmal pro jenkins Instanz oder wenn Sie unterschiedliche Scanner-Versionen erfolgen.
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step1.sentence	In Jenkins, navigate to {path}.	In Jenkins, Navigieren Sie zu {path}.
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step1.sentence.path	Manage Jenkins > Global Tool Configuration	Verwalten Jenkins> Globale Werkzeugkonfiguration
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step2.sentence	Under {default_scanner} click on {add_scanner_for_msbuild}	Unter {default_scanner}, klicken Sie auf {add_scanner_for_msbuild}
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step2.sentence.default_scanner	SonarScanner for MSBuild	SonarScanner für MSBuild
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step2.sentence.add_scanner_for_msbuild	Add SonarScanner for MSBuild	In SonarScanner für MSBuild
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step3.sentence	Choose a {name} that will be used in the last step:	Wählen Sie einen {name}, die im letzten Schritt verwendet wird:
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step3.sentence.name	Name	Name
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step4.sentence	Check {install_auto}	Check {install_auto}
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step4.sentence.install_auto	Install automatically	automatisch installieren
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step5.sentence	Under {install_from} select the corresponding .NET Core scanner required for you project.	Unter {install_from} wählen Sie den entsprechenden .NET-Core-Scanner für Sie erforderlich projizieren.
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step5.sentence.install_from	Install from GitHub	Installieren von GitHub
onboarding.tutorial.with.jenkins.dotnet.scanner.prereqs.step5.sentence.install_auto	Install automatically	automatisch installieren
		
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.replace.sentence	Make sure to replace {default} with the name you gave to your SonarQube Scanner tool {in_jenkins}.	Stellen Sie sicher, {default} zu ersetzen, mit dem Namen, den Sie gab zu Ihrem Sonarqube Scanner-Tool {in_jenkins}.
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.replace.sentence.default	SonarScanner	SonarScanner
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.replace.sentence.in_jenkins	in Jenkins	in Jenkins
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.help1.sentence	To get the name of your SonarQube Scanner tool in Jenkins, navigate to {path}.	Um den Namen Ihres Sonarqube Scanner Tool in Jenkins, Navigieren Sie zu {Pfad} zu erhalten.
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.help1.sentence.path	Manage Jenkins > Global Tool Configuration	Verwalten Jenkins> Globale Werkzeugkonfiguration
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.help2.sentence	The name is located under the {path} section, in the {name} field.	Der Name wird unter dem Pfad {} Abschnitt befindet, in dem {name} Feld.
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.help2.sentence.path	SonarQube Scanner > SonarQube Scanner installations	Sonarqube Scanner> Sonarqube Scanner-Installationen
onboarding.tutorial.with.jenkins.jenkinsfile.other.step3.help2.sentence.name	Name	Name
		
		
onboarding.tutorial.with.azure_pipelines.os	What is your agent host?	Was ist Ihr Agent Host?
onboarding.tutorial.with.azure_pipelines.title	Analyze your project with Azure DevOps Pipelines	Analysieren Sie Ihr Projekt mit Azure DevOps Pipelines
onboarding.tutorial.with.azure_pipelines.unsupported	This tutorial is only available for projects bound to Azure DevOps.	Dieses Tutorial ist nur für Projekte zur Verfügung gebunden Azure DevOps.
onboarding.tutorial.with.azure_pipelines.ExtensionInstallation.title	Install SonarQube extension for Azure DevOps	Installieren Sonarqube Erweiterung für Azure DevOps
onboarding.tutorial.with.azure_pipelines.ExtensionInstallation.sentence	From your Azure DevOps instance, navigate to the Visual Studio Marketplace and install the {link} by clicking the {button} button.	Von Ihrem Azure DevOps Beispiel, gehen Sie zum Visual Studio Marktplatz und installieren Sie die {link} durch Klicken auf die Schaltfläche {} drücken.
onboarding.tutorial.with.azure_pipelines.ExtensionInstallation.sentence.link	SonarQube extension	Sonarqube Erweiterung
onboarding.tutorial.with.azure_pipelines.ExtensionInstallation.sentence.button	Get it free	Kostenlos bekommen
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.title	Add a new SonarQube Service Endpoint in your project	Fügen Sie einen neuen Sonarqube Service-Endpoint in Ihrem Projekt
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step1.sentence	In Azure DevOps, go to {menu}	In Azure DevOps, gehen Sie auf {menu}
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step1.sentence.menu	Project settings > Service connections	Projekteinstellungen> Service-Verbindungen
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step2.sentence	Add a new service connection of type {type}	Fügen Sie eine neue Service-Verbindung vom Typ {type}
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step2.sentence.type	SonarQube	Sonarqube
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step3.sentence	Enter a memorable connection name	Geben Sie einen unvergesslichen Verbindungsnamen
